Rank[a],Ship name,Cruise line[b],Year[c],Grosstonnage[d],Lengthoverall[d][e],Beam[d],Beam[d],Staterooms,Passenger capacity[f],Passenger capacity[f],Image
Rank[a],Ship name,Cruise line[b],Year[c],Grosstonnage[d],Lengthoverall[d][e],Maximum[g],Waterline[h],Staterooms,Double[i],Maximum[j],Image
1,Symphony of the Seas,Royal Caribbean International,2018[k][7],"228,081[7]","361.011 m(1,184.42 ft)[7]",65.7 m(215.5 ft)[6],47.78 m(156.8 ft)[7],"2,759[6]","5,518[6]","6,680[6]",
2,Harmony of the Seas,Royal Caribbean International,2016[k][29],"226,963[29]","362.12 m(1,188.1 ft)[29]",65.7 m(215.5 ft)[30],47.42 m(155.6 ft)[29],"2,747[30]","5,494[l][30]","6,687[30]",
3,Oasis of the Seas,Royal Caribbean International,2009[k][31],"226,838[31]","360 m(1,180 ft)[31]",60.5 m(198 ft)[31],47 m(154 ft)[31],"2,742[32]","5,484[32]","6,780[32]",
4,Allure of the Seas,Royal Caribbean International,2010[33],"225,282[33]","360 m(1,180 ft)[33]",60.5 m(198 ft)[33],47 m(154 ft)[33],"2,742[34]","5,484[34]","6,780[34]",
5,Costa Smeralda[35],Costa Cruises,2019[36],"185,010[36]","337 m(1,106 ft)[35]",42 m(138 ft)[36],42 m(138 ft)[36],"2,612[35]","5,224[35]","6,554[36]",
6,Iona[37],P&O Cruises,2020[37],"184,089[37]","344.5 m(1,130 ft)[38]",42 m(138 ft)[37],42 m(138 ft)[37],"2,614[38]","5,206[38]","6,600[39]",
7,AIDAnova[40],AIDA Cruises,2018[40],"183,858[41]","337 m(1,106 ft)[41]",42 m(138 ft)[41],42 m(138 ft)[41],"2,626[42]","5,252[42]","6,654[41]",
8,Mardi Gras[43],Carnival Cruise Line,2020[43],"181,808[43]","344 m(1,130 ft)[44]",42 m(138 ft)[43],42 m(138 ft)[43],"2,641[44]","5,282[44]","6,630[44]",
9,MSC Grandiosa[45],MSC Cruises,2019[45],"181,541[45]","331.43 m(1,087.4 ft)[46]",43 m(141 ft)[46],43 m(141 ft)[46],"2,632[46]","5,264[46]","6,761[46]",
